Playlist Title,Playlist ID,Video Title,Embed URL
No title,PLdM751AKK4aPhXuFHLA87Kq1T-hPCwmzG,Vẽ Cái Này Rồi Chết Đi - Tập 02 [Việt sub],https://www.youtube.com/embed/8ZBsgF3QjHI
No title,PLdM751AKK4aPhXuFHLA87Kq1T-hPCwmzG,Vẽ Cái Này Rồi Chết Đi - Tập 01 [Việt sub],https://www.youtube.com/embed/7coBNV06VVM
No title,PLdM751AKK4aOW_1Tkk-7MsHYXTd2wrmu0,Hậu Phương Mạnh Nhất Thế Giới - Tập 02 [Việt sub],https://www.youtube.com/embed/i4htyM2cfxI
No title,PLdM751AKK4aOW_1Tkk-7MsHYXTd2wrmu0,Hậu Phương Mạnh Nhất Thế Giới - Tập 01 [Việt sub],https://www.youtube.com/embed/hDorawUXtjs
No title,PLdM751AKK4aP8ahGcoNlKv_2lrI5sbles,100 cô bạn gái yêu bạn rất rất rất rất rất nhiều S3 - Tập 26 [Việt sub],https://www.youtube.com/embed/lpVJzL_mZXc
No title,PLdM751AKK4aP8ahGcoNlKv_2lrI5sbles,100 cô bạn gái yêu bạn rất rất rất rất rất nhiều S3 - Tập 25 [Việt sub],https://www.youtube.com/embed/prM3_cqjFgY
No title,PLesBfocaf5Gg,BanG Dream! YUME∞MITA - Tập 04 [Việt sub],https://www.youtube.com/embed/IZZ-sKSo-B4
No title,PLesBfocaf5Gg,BanG Dream! YUME∞MITA - Tập 03 [Việt sub],https://www.youtube.com/embed/gm1sGlKvh9Q
No title,PLesBfocaf5Gg,BanG Dream! YUME∞MITA - Tập 02 [Việt sub],https://www.youtube.com/embed/SYf7XWutwn0
No title,PLesBfocaf5Gg,BanG Dream! YUME∞MITA - Tập 01 [Việt sub],https://www.youtube.com/embed/uiFni9TVDc0
No title,PLdM751AKK4aP8BihShi5ueyII4iJjuco3,THIẾU NỮ QUÁI VẬT CARAMELISE - Tập 02 [Việt sub],https://www.youtube.com/embed/J0Atz0jG538
No title,PLdM751AKK4aP8BihShi5ueyII4iJjuco3,THIẾU NỮ QUÁI VẬT CARAMELISE - Tập 01 [Việt sub],https://www.youtube.com/embed/dBflf3RerA0
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,[Anime trọn bộ] Thiếu chủ giỏi chạy trốn [Việt sub],https://www.youtube.com/embed/IKlxD3FnStU
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 12 [Việt sub],https://www.youtube.com/embed/OK-w9O8aUKg
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 11 [Việt sub],https://www.youtube.com/embed/E6RoI0JP5kc
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 10 [Việt sub],https://www.youtube.com/embed/7mSYu3v2rUs
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 09 [Việt sub],https://www.youtube.com/embed/DJjI2FS6jTI
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 08 [Việt sub],https://www.youtube.com/embed/g972JhCW_ac
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 07 [Việt sub],https://www.youtube.com/embed/HjpBl-2Vxws
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 06 [Việt sub],https://www.youtube.com/embed/T8fCQCDpPQk
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 05 [Việt sub],https://www.youtube.com/embed/zSnWdJiIF24
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 04 [Việt sub],https://www.youtube.com/embed/L2e7MbTIZK4
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 03 [Việt sub],https://www.youtube.com/embed/j6fNfEeWgLc
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 02 [Việt sub],https://www.youtube.com/embed/McemZaAQNIc
No title,PLdM751AKK4aMhjp_8JIrdJU1JdztAz-qq,Thiếu chủ giỏi chạy trốn - Tập 01 [Việt sub],https://www.youtube.com/embed/_FdDDUkQXY0
No title,PLdM751AKK4aNl67gLBWeOdO8Xj4Dgoztq,Hiệp sĩ xương trên đường du hành đến thế giới khác S2 - Tập 02 [Việt sub],https://www.youtube.com/embed/xi6KalMBnbA
No title,PLdM751AKK4aNl67gLBWeOdO8Xj4Dgoztq,Hiệp sĩ xương trên đường du hành đến thế giới khác S2 - Tập 01 [Việt sub],https://www.youtube.com/embed/oTgjKf-WFM8
No title,PLdM751AKK4aOU9tD3uKvbN9JRz3ilhDcv,BLACK TORCH - Tập 02 [Việt sub],https://www.youtube.com/embed/-M2pRAjHBQQ
